LLYLM,ROSALï¿½,2023,56
TRUSTFALL,P!nk,2023,64
ANTIFRAGILE,LE SSERAFIM,2022,88
Boys a liar,PinkPantheress,2022,66
Shirt,SZA,2022,82
Lift Me Up  From Black Panther Wakanda Forever  M,Rihanna,2022,25
STAR WALKIN League of Legends Worlds Anthem,Lil Nas X,2022,64
Sex Drugs Etc,Beach Weather,2016,57
Boy With Luv feat Halsey,Halsey and BTS,2019,65
Hey Mickey,Baby Tate,2016,92
Jhoome Jo Pathaan,Arijit Singh and Vishal Dadlani and Sukriti Kakar,2022,82
Escapism  Sped Up,RAYE and 070 Shake,2022,44
Te Felicito,Shakira and Rauw Alejandro,2022,70
Mu,Steve Aoki and Tini and La Joaqui,2023,68
TV,Billie Eilish,2022,41
Im Not The Only One,Sam Smith,2014,68
Heather,Conan Gray,2020,47
Besharam Rang From Pathaan,Vishal-Shekhar and Shilpa Rao and Caralisa Montei,2022,77
Sugar Rush Ride,TOMORROW X TOGETHER,2023,71
WAIT FOR U feat Drake  Tems,Drake and Future and Tems,2022,46
Dont Start Now,Dua Lipa,2019,79
After Dark,Mr.Kitty,2014,58
MIDDLE OF THE NIGHT,Elley Duhï¿,2020,41
Atlantis,Seafret,2015,40
Evoque Prata,DJ Escobar and MC MENOR SG and MC MENOR HR,2022,87
How Do I Say Goodbye,Dean Lewis,2022,40
Blind,SZA,2022,46
Die For You,Joji,2022,47
Doja,Central Cee,2022,91
Gatita,Bellakath,2022,90
Rumble,Skrillex and Flowdan and Fred again..,2022,81
Niagara Falls Foot or  with Travis Scott   Savage,Travis Scott and 21 Savage and Metro Boomin,2022,49
Yonaguni,Bad Bunny,2021,64
Super Freaky Girl,Nicki Minaj,2022,95
Running Up That Hill A Deal With God,Kate Bush,1985,63
Dream On,Aerosmith,1973,39
Limbo,Freddie Dredd,2022,80
Where Are You Now,Lost Frequencies and Calum Scott,2021,67
WORTH NOTHING,Twisted and Oliver Tree,2022,58
KICK BACK,Kenshi Yonezu,2022,58
Evergreen You Didnt Deserve Me A,Omar Apollo,2022,70
Good Days,SZA,2020,46
Levitating feat DaBaby,Dua Lipa and DaBaby,2020,70
Shut up My Moms Calling  Sped Up,Hotel Ugly,2022,65
Ferrari,James Hype and Miggy Dela Rosa,2022,84
Youre On Your Own Kid,Taylor Swift,2022,69
Agudo Mgi,Styrx and utku INC and Thezth,1930,65
Its Beginning To Look A Lot Like Christmas,Michael Bublï¿,2011,35
Its the Most Wonderful Time of the Year,Andy Williams,1963,24
Let It Snow Let It Snow Let It Snow,Dean Martin,1959,45
Underneath the Tree,Kelly Clarkson,2013,51
Feliz Navidad,Josï¿½ï¿½ Felic,1970,50
Holly Jolly Christmas,Michael Bublï¿,2011,65
Mistletoe,Justin Bieber,2011,67
Sleigh Ride,The Ronettes,1963,53
Seek  Destroy,SZA,2022,65
Love Language,SZA,2022,71
Happy Xmas War Is Over,John Lennon and The Harlem Community Choir and Th,1971,33
Used feat Don Toliver,SZA and Don Toliver,2022,73
The Christmas Song Merry Christmas To You  Remast,Nat King Cole,1946,36
Wonderful Christmastime  Edited Version  Remaster,Paul McCartney,1979,75
Ghost in the Machine feat Phoebe Bridgers,SZA and Phoebe Bridgers,2022,62
Merry Christmas Everyone,Shakin' Stevens,1984,72
Let It Snow Let It Snow Let It Snow,Frank Sinatra and B. Swanson Quartet,1950,60
SOS,SZA,2022,51
Open Arms feat Travis Scott,SZA and Travis Scott,2022,67
White Christmas,Bing Crosby and John Scott Trotter & His Orchestr,1942,23
Driving Home for Christmas   Remaster,Chris Rea,1986,51
Christmas Baby Please Come Home,Darlene Love,1963,34
Gone Girl,SZA,2022,43
FF,SZA,2022,53
Notice Me,SZA,2022,72
Its Beginning to Look a Lot Like Christmas with M,Perry Como and The Fontane Sisters and Mitchell A,1958,73
Antidepresan,Mabel Matiz and Mert Demir,2022,70
Wild Flower with youjeen,RM,2022,49
I Hate U,SZA,2021,54
Raindrops Insane with Travis Scott,Travis Scott and Metro Boomin,2022,80
SPIT IN MY FACE,ThxSoMch,2022,70
"Deck The Hall  Remastered ",Nat King Cole,1959,69
Smoking on my Ex Pack,SZA,2022,47
Conceited,SZA,2022,79
Snow On The Beach feat Lana Del Rey,Taylor Swift and Lana Del Rey,2022,66
Maroon,Taylor Swift,2022,64
Tubaro Te,Dj LK da Escï¿½ï¿½cia and Tchakabum and mc jhenny,2022,89
Bejeweled,Taylor Swift,2022,70
Tarot,Bad Bunny and Jhay Cortez,2022,80
You Make It Feel Like Christmas feat Blake Shelto,Gwen Stefani and Blake Shelton,2005,63
Desesperados,Chencho Corleone and Rauw Alejandro,2021,87
Too Late,SZA,2022,45
Party,Bad Bunny and Rauw Alejandro,2022,83
Run Rudolph Run  Single Version,Chuck Berry,1958,69
"Jingle Bells  Remastered ",Frank Sinatra,1957,51
Far,SZA,2022,61
On Time with John Legend,John Legend and Metro Boomin,2022,33
GAT,Maldy and Karol G,2022,63
Is There Someone Else,The Weeknd,2022,70
Fingers Crossed,Lauren Spencer Smith and Lauren Spencer Smith and,2022,60
Do It To It,Cherish and ACRAZE,2021,85
How Do I Make You Love Me,The Weeknd,2022,80
Gasoline,The Weeknd,2022,74
Infinity,Jaymes Young,2017,67
Take My Breath,The Weeknd,2021,70
Here We Go Again feat Tyler the Cr,The Weeknd and Tyler and The Creator,2022,41
Best Friends,The Weeknd,2022,49
Kiss Me More feat SZA,SZA and Doja Cat,2021,77
I Heard Youre Married feat Lil Wayne,The Weeknd and Lil Wayne,2022,75
Dawn FM,The Weeknd,2022,27
Surface Pressure,Jessica Darrow,2021,65
Starry Eyes,The Weeknd,2022,28
THATS WHAT I WANT,Lil Nas X,2021,74
One Right Now with The Weeknd,The Weeknd and Post Malone,2021,68
Beggin,Mï¿½ï¿½ne,2017,71
Mon Amour  Remix,Aitana and zzoilo,2020,75
Lo Siento BB with Bad Bunny  Julieta Venegas,Julieta Venegas and Bad Bunny and Tainy,2021,64
The Motto,Tiï¿½ï¿½sto and Ava,2021,75
Malvad,Xamï¿½ï¿½ and Gustah and Neo B,2021,82
Dont Break My,The Weeknd,2022,77
Oh My God,Adele,2021,53
Entre Nosotros Remix con Nicki Nicole,Lit Killah and Maria Becerra and Tiago pzk and NI,2022,70
A Tale By Quincy,The Weeknd,2022,46
I AM WOMAN,Emmy Meli,2021,65
Medallo,Justin Quiles and Lenny Tavï¿½ï¿½rez and BL,2021,79
Itll Be Okay,Shawn Mendes,2021,40
Softcore,The Neighbourhood,2018,57
Super Gremlin,Kodak Black,2021,83
Volv,Aventura and Bad Bunny,2021,73
Todo De Ti,Rauw Alejandro,2020,81
Smokin Out The Window,Bruno Mars and Anderson .Paak and Silk Sonic,2021,63
Meet Me At Our Spot,THE ANXIETY and Willow and Tyler Cole,2020,77
Tacones Rojos,Sebastian Yatra,2021,75
Dakiti,Bad Bunny and Jhay Cortez,2020,73
"Tiago PZK Bzrp Music Sessions Vol ",Bizarrap and Tiago pzk,2021,66
L,Stromae,2022,56
Nostl,Chris Brown and Rvssian and Rauw Alejandro,2021,73
Sad Girlz Luv Money Remix feat Kali Uchis,Kali Uchis and Amaarae and Moliy,2021,86
Butter,BTS,2021,79
pushin P feat Young Thug,Young Thug and Future and Gunna,2022,77
You Right,Doja Cat and The Weeknd,2021,83
deja vu,Olivia Rodrigo,2021,44
TO THE MOON,Jnr Choi,2021,74
Lost in the Fire,The Weeknd and Gesaffelstein,2019,66
Salimo de Noche,Trueno and Tiago pzk,2021,67
Volando  Remix,Sech and Bad Bunny and Mora,2021,66
Leave The Door Open,Bruno Mars and Anderson .Paak and Silk Sonic,2021,59
Knife Talk with  Savage ft Project Pat,Drake and Project Pat and 21 Savage,2021,85
Dont Be Shy,Tiï¿½ï¿½sto and Kar,2021,77
Love Grows Where My Rosemary Goes,Edison Lighthouse,1970,53
The Family Madrigal,"Olga Merediz and Stephanie Beatriz and Encanto - ",2021,59
Phantom Regret by Jim,The Weeknd,2022,46
Freaks,Surf Curse,2015,35
Acapulco,Jason Derulo,2021,77
Daddy Issues,The Neighbourhood,2015,59
thought i was playing,21 Savage and Gunna,2022,68
ELEVEN,IVE,2021,83
What Else Can I Do,Stephanie Beatriz and Diane Guerrero,2021,72
Miserable Man,David Kushner,2022,63
happier,Olivia Rodrigo,2021,39
Praise God,Kanye West,2021,80
Get Into It Yuh,Doja Cat,2021,91
Before You Go,Lewis Capaldi,2019,45
Sky,Playboi Carti,2020,79
Rolling in the Deep,Adele,2010,73
Sobrio,Maluma,2021,76
Peru,Ed Sheeran and Fireboy DML,2021,96
favorite crime,Olivia Rodrigo,2021,40
Thunder,Prezioso and Gabry Ponte and LUM!X,2021,67
The Business,Tiï¿½ï¿,2020,80
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,2021,75
"Vai L Em Casa ",Marï¿½ï¿½lia Mendonï¿½ï¿½a and George Henrique &,2021,46
The Feels,TWICE,2021,81
No Lie,Sean Paul and Dua Lipa,2016,74
OUT OUT feat Charli XCX  Saweetie,Charli XCX and Jax Jones and Joel Corry and Sawee,2021,79
Pope Is a Rockstar,SALES,2016,73
NULL,Sleepy hallow,2021,78
Bored,Billie Eilish,2017,60
Astronaut In The Ocean,Masked Wolf,2019,78
Ley Seca,Anuel Aa and Jhay Cortez,2021,76
Every Summertime,NIKI,2021,63
Talking To The Moon,Bruno Mars,2010,52
you broke me first,Tate McRae,2020,64
The Nights,Avicii,2014,53
Take My Breath,The Weeknd,2021,75
Way  Sexy with Future  Young Thug,Drake and Future and Young Thug,2021,80
C,Rauw Alejandro,2021,77
Enemy  from the series Arcane League of Legends,Imagine Dragons and League of Legends and Arcane,2021,73
Lucid Dreams,Juice WRLD,2017,44
Qu M,J Balvin and Maria Becerra,2021,89
All of Me,John Legend,2013,42
"Smells Like Teen Spirit  Remastered ",Nirvana,1991,52
Fair Trade with Travis Scott,Drake and Travis Scott,2021,67
Bar,Tini and L-Gante,2021,52
The Rumbling TV Size,SiM,2022,41
family ties with Kendrick Lamar,Kendrick Lamar and Baby Keem,2021,71
Mr Brightside,The Killers,2003,35
BlessedCursed,ENHYPEN,2022,60
AM Remix,J Balvin and Nio Garcia and Bad Bunny,2021,74
Streets,Doja Cat,2019,75
Shallow,Lady Gaga and Bradley Cooper,2018,57
Polaroid Love,ENHYPEN,2022,74
Leave Before You Love Me with Jonas Brothers,Marshmello and Jonas Brothers,2021,72
Permission to Dance,BTS,2021,70
